id,smiles,concentration,shifts/heights
AS-8515-02-E06,COc1ccc2c(N)nn(C)c2c1F,128.20446877767006,-160.8800661,1
NC-0761-06-D05,FC2(=CN1(C(=NC(=C1)C(=O)OCC)C=C2)),119.39985158242932,-138.0534395,1
FS-1333-01-F08,FC1(=C(OC)C=CC(=C1)C(N)C),44.36472196746856,-134.8922556,1
SS-4323-05-E09,FC1(=C2(C(=C(O)C=C1)CCC2)),72.61112174512967,-128.6996047,1
BH-0429-02-H11,FC1(=C(C(=O)N)C=C(OC)C=C1),121.65326810278879,-124.0813264,1
PS-6504-02-C11,FC2(=CC1(=C(OCOC1)C(=C2)CO)),106.8120078607944,-121.972982,1
NC-0721-04-F12,S2(C1(=C(C=C(F)C=C1)C=C2CO)),89.26670132366365,-119.0703435,1
AS-5205-02-H05,FC2(=CC=C(OC1(=C(C#N)C=CC=C1))C=C2),122.22773573812911,-118.1525518,1
FS-3503-01-H04,FC1(=C(C(OC)=CC=C1)CC(=O)O),98.05292726591067,-117.4790899,1
4T-0267-04-A09,FC2(=CC=C(NC(=O)CC1(=CC=C(O)C=C1))C=C2),50.90011611487168,-116.773643,1
BS-2129-05-A01,BrC1(=CC(F)=C2(C=NNC2(=C1))),107.6190221061417,-115.9562486,1
FS-1293-02-D04,FC2(=CC=1(C(=O)C=COC=1C=C2)),106.81663630400381,-114.8945244,1
FS-2429-02-A07,FC1(=C(C(=O)O)C=CC(=C1)C#N),108.7812678953594,-113.9945021,1
FS-2236-03-C02,FC2(=CC(C1(=CN=C(N)C=C1))=CC=C2),90.16582963440688,-113.1895463,1
1R-0678-05-A06,FC3(=CC=C(C1(NCCC2(=C1NC=N2)))C=C3),122.74279870472823,-111.9341352,1
BS-4170-05-A10,FC2(=CC(N1(N=C(CO)N=C1C))=CC=C2),109.28255946042889,-111.062544,1
FS-3143-03-D03,FC1(=C(C(=O)OC)C=CC(=C1)O),94.89406983456071,-109.1541058,1
PS-8226-02-B10,ClC=1(C2(=C(N=CC=1)C(F)=CC(=C2)F)),88.27843778534185,-107.4864436,1,-107.5015476,1,-119.8637491,1,-119.8788532,1
HR-0321-01-H01,FC1=CC=C(C=C1)C(=O)C1=CC=NC=C1,67.37234685583071,-103.4048025,1
5P-024-03-F07,FC(F)(F)C(O)CN1(CCCCC1),29.20401108511226,-78.70527666,1
8J-537S-05-H05,CSC1=NC(=CC(=O)N1C)C(F)(F)F,97.01153025219536,-71.13638239,1
FS-3394-04-E04,FC(F)(F)C1(=NC=CC(=C1)O),115.94157032814383,-67.6553485,1
2K-318S-05-H02,CN1C(C)=CC(=C(C#N)C1=O)C(F)(F)F,101.73361039769868,-64.85754969,1
PS-8094-01-C03,ClC1(=C(C=C(C#N)C=C1)C(F)(F)F),17.028428198233296,-63.01041608,1
PS-6425-01-E07,BrC1(=C(C=C(NC(=O)C)C=C1)C(F)(F)F),127.43160252149194,-62.49243682,1
3G-055-01-C12,ClC1(=C(N=CC(=C1)C(F)(F)F)C(C#N)C=2(N(C=CC=2)C)),107.91618690263316,-62.34761586,1
3R-1522-03-D07,FC(F)(F)C1(=NC2(=CC=CC=C2(N1CC#N))),103.06947285127136,-62.17169837,1,-62.18591392,1
TS-02994-02-G04,ClC1(=C(C=CC=C1CO)C(F)(F)F),134.27563096273818,-61.85451381,1
AS-9258-01-E05,OCc1cc(ccc1N1CCOCC1)C(F)(F)F,138.91910156247488,-61.55776411,1
AS-8450-02-C06,CCNc1ccc(cn1)C(F)(F)F,42.100156773045704,-60.89318694,1
GF-0700-05-C12,ClC2(=C(C=C(N1(C=CC=C1))C(=C2)N)C(F)(F)F),70.70195926534136,-60.39564254,1
PS-6806-06-F02,FC(F)(F)OC1(=CC=C(C(=O)N)C=C1),136.29341127886346,-57.53831609,1
BF-0702-05-F11,FC1(=C(NN=C1C=2(OC=CC=2))N),41.034375213187374,-186.39787477321923,1
FS-2142-01-C04,FC1(=C(OC)C=CC=C1C(=O)O),114.29728536465961,-139.69977842265453,1
PS-6442-06-H02,ClC1(=CN=C(N)C(=C1)F),92.67194314847428,-135.17745516496095,1
PS-6380-01-H07,FC1(=C(N=C(C)C=C1)C(=O)O),91.37440615783994,-129.81552572288223,1
FS-2981-03-C03,FC3(=CC1(=C(NCC12(CC2))C=C3)),31.891997506432574,-124.30877531989898,1
CS-4014-05-A09,FC1(=C(O)C=C2(C(=O)CCC2(=C1))),106.6474257665872,-122.16400354306748,1
KD-0765-06-B05,FC1(=C(C#N)C=C(O)C=C1),114.0438647691026,-120.40749409700459,1
FS-1327-03-D09,FC1(=C(C#N)C=C(OC)C=C1),68.88071196261085,-118.38977383802185,1
